word_public_id,word_id,word,meaning_en,status,existing_size_bytes
HSK1-W-0001,W00001,爱,love,placeholder_or_tiny,46
HSK1-W-0002,W00002,八,eight,placeholder_or_tiny,46
HSK1-W-0005,W00005,北京,Beijing,placeholder_or_tiny,46
HSK1-W-0006,W00006,本,measure word for books,placeholder_or_tiny,46
HSK1-W-0007,W00007,不,not,placeholder_or_tiny,46
HSK1-W-0008,W00008,不客气,You're welcome,placeholder_or_tiny,46
HSK1-W-0012,W00013,打电话,make a phone call,missing,0
HSK1-W-0014,W00015,的,possessive particle,placeholder_or_tiny,46
HSK1-W-0019,W00020,东西,thing,placeholder_or_tiny,46
HSK1-W-0020,W00021,都,all,placeholder_or_tiny,46
HSK1-W-0021,W00022,读,to read,placeholder_or_tiny,46
HSK1-W-0024,W00025,多少,how much,placeholder_or_tiny,46
HSK1-W-0026,W00027,二,two,placeholder_or_tiny,46
HSK1-W-0030,W00032,个,a general measure word,placeholder_or_tiny,46
HSK1-W-0031,W00033,工作,work,placeholder_or_tiny,46
HSK1-W-0036,W00039,和,"and, together with",placeholder_or_tiny,46
HSK1-W-0037,W00040,很,very,placeholder_or_tiny,46
HSK1-W-0038,W00042,回,to return,placeholder_or_tiny,46
HSK1-W-0039,W00043,会,can,placeholder_or_tiny,46
HSK1-W-0040,W00044,几,how many,placeholder_or_tiny,46
HSK1-W-0041,W00045,家,home,placeholder_or_tiny,46
HSK1-W-0042,W00046,叫,to call,placeholder_or_tiny,46
HSK1-W-0043,W00047,今天,today,placeholder_or_tiny,46
HSK1-W-0044,W00048,九,nine,placeholder_or_tiny,46
HSK1-W-0046,W00050,看,to look,placeholder_or_tiny,46
HSK1-W-0049,W00053,来,to come,placeholder_or_tiny,46
HSK1-W-0051,W00055,了,completed action marker,placeholder_or_tiny,46
HSK1-W-0054,W00058,买,to buy,placeholder_or_tiny,46
HSK1-W-0056,W00060,吗,question particle,placeholder_or_tiny,46
HSK1-W-0057,W00062,没,not,placeholder_or_tiny,46
HSK1-W-0058,W00063,没关系,it's okay,placeholder_or_tiny,46
HSK1-W-0060,W00065,明天,tomorrow,placeholder_or_tiny,46
HSK1-W-0061,W00066,名字,name,placeholder_or_tiny,46
HSK1-W-0062,W00067,哪,which,placeholder_or_tiny,46
HSK1-W-0063,W00068,那,that,placeholder_or_tiny,46
HSK1-W-0064,W00069,呢,question particle,placeholder_or_tiny,46
HSK1-W-0065,W00070,能,can,placeholder_or_tiny,46
HSK1-W-0066,W00071,你,you,placeholder_or_tiny,46
HSK1-W-0067,W00072,年,year,placeholder_or_tiny,46
HSK1-W-0070,W00077,七,seven,placeholder_or_tiny,46
HSK1-W-0072,W00079,前,front,placeholder_or_tiny,46
HSK1-W-0073,W00080,请,please,placeholder_or_tiny,46
HSK1-W-0074,W00081,去,to go,placeholder_or_tiny,46
HSK1-W-0076,W00083,人,person,placeholder_or_tiny,46
HSK1-W-0077,W00084,认识,to know,placeholder_or_tiny,46
HSK1-W-0078,W00085,三,three,placeholder_or_tiny,46
HSK1-W-0080,W00087,上,up,placeholder_or_tiny,46
HSK1-W-0081,W00088,上午,morning,placeholder_or_tiny,46
