image_id,current_filename,recommended_filename,status,source_path
IMG_ABSTRACT_ANGRY,img__abstract_angry__v1.webp,symbol_emotion_angry_storm_001.webp,mapped_from_legacy_word_W,/Users/mansur/universal_study_bot org/backend/static/images/word_W00498.webp
IMG_ABSTRACT_HAPPY,img__abstract_happy__v1.webp,symbol_emotion_happy_sun_001.webp,mapped_from_legacy_word_W,/Users/mansur/universal_study_bot org/backend/static/images/word_W00031.webp
IMG_ABSTRACT_LOVE,img__abstract_love__v1.webp,symbol_emotion_love_heart_001.webp,missing,
IMG_ABSTRACT_THANK_YOU,img__abstract_thank_you__v1.webp,symbol_emotion_thank_you_open_hand_001.webp,missing,
IMG_ACTION_BE_ABLE_TO,img__action_be_able_to__v1.webp,action_general_be_able_to_side_001.webp,missing,
IMG_ACTION_MAKE_A_PHONE_CALL,img__action_make_a_phone_call__v1.webp,action_communication_make_a_phone_call_side_001.webp,missing,
IMG_ACTION_TO_ARRIVE,img__action_to_arrive__v1.webp,action_motion_arrive_side_001.webp,missing,
IMG_ACTION_TO_ASK,img__action_to_ask__v1.webp,action_communication_ask_side_001.webp,missing,
IMG_ACTION_TO_BE,img__action_to_be__v1.webp,action_general_be_side_001.webp,missing,
IMG_ACTION_TO_BE_CALLED,img__action_to_be_called__v1.webp,action_general_be_called_side_001.webp,missing,
IMG_ACTION_TO_BE_ILL,img__action_to_be_ill__v1.webp,action_general_be_ill_side_001.webp,missing,
IMG_ACTION_TO_BUY,img__action_to_buy__v1.webp,action_daily_buy_side_001.webp,missing,
IMG_ACTION_TO_CALL,img__action_to_call__v1.webp,action_communication_call_side_001.webp,missing,
IMG_ACTION_TO_CLOSE,img__action_to_close__v1.webp,action_general_close_side_001.webp,missing,
IMG_ACTION_TO_COME,img__action_to_come__v1.webp,action_motion_come_side_001.webp,missing,
IMG_ACTION_TO_COMPARE,img__action_to_compare__v1.webp,action_general_compare_side_001.webp,missing,
IMG_ACTION_TO_DO,img__action_to_do__v1.webp,action_general_do_side_001.webp,missing,
IMG_ACTION_TO_DRINK,img__action_to_drink__v1.webp,action_daily_drink_side_001.webp,mapped_from_legacy_word_W,/Users/mansur/universal_study_bot org/backend/static/images/word_W00038.webp
IMG_ACTION_TO_DRIVE,img__action_to_drive__v1.webp,action_general_drive_side_001.webp,missing,
IMG_ACTION_TO_DRIVE_A_CAR,img__action_to_drive_a_car__v1.webp,action_general_drive_a_car_side_001.webp,missing,
IMG_ACTION_TO_EAT,img__action_to_eat__v1.webp,action_daily_eat_side_001.webp,mapped_from_legacy_word_W,/Users/mansur/universal_study_bot org/backend/static/images/word_W00011.webp
IMG_ACTION_TO_ENTER,img__action_to_enter__v1.webp,action_general_enter_side_001.webp,missing,
IMG_ACTION_TO_FEEL,img__action_to_feel__v1.webp,action_general_feel_side_001.webp,missing,
IMG_ACTION_TO_FIND,img__action_to_find__v1.webp,action_general_find_side_001.webp,missing,
IMG_ACTION_TO_FLY,img__action_to_fly__v1.webp,action_general_fly_side_001.webp,missing,
IMG_ACTION_TO_FOLLOW,img__action_to_follow__v1.webp,action_general_follow_side_001.webp,missing,
IMG_ACTION_TO_FORGET,img__action_to_forget__v1.webp,action_general_forget_side_001.webp,missing,
IMG_ACTION_TO_GIVE,img__action_to_give__v1.webp,action_general_give_side_001.webp,missing,
IMG_ACTION_TO_GIVE_AS_A_GIFT,img__action_to_give_as_a_gift__v1.webp,action_general_give_as_a_gift_side_001.webp,missing,
IMG_ACTION_TO_GO,img__action_to_go__v1.webp,action_motion_go_side_001.webp,missing,
IMG_ACTION_TO_GO_BACK,img__action_to_go_back__v1.webp,action_motion_go_back_side_001.webp,missing,
IMG_ACTION_TO_GO_IN,img__action_to_go_in__v1.webp,action_motion_go_in_side_001.webp,missing,
IMG_ACTION_TO_GO_OUT,img__action_to_go_out__v1.webp,action_motion_go_out_side_001.webp,missing,
IMG_ACTION_TO_HAVE,img__action_to_have__v1.webp,action_general_have_side_001.webp,missing,
IMG_ACTION_TO_HEAR,img__action_to_hear__v1.webp,action_communication_hear_side_001.webp,missing,
IMG_ACTION_TO_HELP,img__action_to_help__v1.webp,action_general_help_side_001.webp,missing,
IMG_ACTION_TO_HIT_OR_STRIKE,img__action_to_hit_or_strike__v1.webp,action_general_hit_or_strike_side_001.webp,missing,
IMG_ACTION_TO_HOLD,img__action_to_hold__v1.webp,action_general_hold_side_001.webp,missing,
IMG_ACTION_TO_JOKE,img__action_to_joke__v1.webp,action_general_joke_side_001.webp,missing,
IMG_ACTION_TO_KNOW,img__action_to_know__v1.webp,action_general_know_side_001.webp,missing,
IMG_ACTION_TO_LAUGH,img__action_to_laugh__v1.webp,action_general_laugh_side_001.webp,missing,
IMG_ACTION_TO_LEARN,img__action_to_learn__v1.webp,action_daily_learn_side_001.webp,missing,
IMG_ACTION_TO_LIKE,img__action_to_like__v1.webp,action_general_like_side_001.webp,missing,
IMG_ACTION_TO_LISTEN,img__action_to_listen__v1.webp,action_communication_listen_side_001.webp,missing,
IMG_ACTION_TO_LIVE,img__action_to_live__v1.webp,action_general_live_side_001.webp,missing,
IMG_ACTION_TO_LOOK,img__action_to_look__v1.webp,action_general_look_side_001.webp,missing,
